web-scraper-order,web-scraper-start-url,linking_lists,linking_lists-href,price,location,name,bedrooms,bathrooms,area,pages,pages-href
"1761476052-1","https://www.zameen.com/Houses_Property/Islamabad-3-1.html","","","","","","","","","2","https://www.zameen.com/Houses_Property/Islamabad-3-2.html"
"1761476054-4","https://www.zameen.com/Houses_Property/Islamabad-3-1.html","","https://www.zameen.com/Property/islamabad_g-13_35x70_brand_new_double_storey_house_for_sale_in_g-13_islamabad-52205950-330-1.html","7.9 Crore","G-13, Islamabad, Islamabad Capital","35x70 Brand New Double Storey House For Sale In G-13 Islamabad","6 Beds","6 Baths","10 Marla","",""
"1761476058-2","https://www.zameen.com/Houses_Property/Islamabad-3-1.html","","https://www.zameen.com/Property/islamabad_i-14_6_marla_brand_new_double_units_beautiful_house_for_sale_in_i-14_islamabad-53064328-1045-1.html","3 Crore","I-14, Islamabad, Islamabad Capital","6 Marla Brand New Double Units Beautiful House For Sale In I-14 Islamabad","5 Beds","5 Baths","6 Marla","",""
"1761476064-3","https://www.zameen.com/Houses_Property/Islamabad-3-1.html","","https://www.zameen.com/Property/islamabad_g-13_10_marla_double_unit_beautiful_house_for_sale_in_g-13_islamabad_close_to_kashmir_highway-53074512-330-1.html","7.5 Crore","G-13, Islamabad, Islamabad Capital","10 Marla Double Unit Beautiful House For Sale In G-13 Islamabad Close To Kashmir Highway","6 Beds","6 Baths","10 Marla","",""
"1761476066-5","https://www.zameen.com/Houses_Property/Islamabad-3-1.html","","https://www.zameen.com/Property/islamabad_g-13_1_kanal_50x90_luxurious_house_for_sale_in_g-13_islamabad-52206027-330-1.html","15.5 Crore","G-13, Islamabad, Islamabad Capital","1 Kanal 50x90 Luxurious House For Sale In G-13 Islamabad","6 Beds","6 Baths","1 Kanal","",""
"1761476069-4","https://www.zameen.com/Houses_Property/Islamabad-3-1.html","","https://www.zameen.com/Property/islamabad_g-13_35x70_brand_new_double_storey_house_for_sale_in_g-13_islamabad-52205950-330-1.html","7.9 Crore","G-13, Islamabad, Islamabad Capital","35x70 Brand New Double Storey House For Sale In G-13 Islamabad","6 Beds","6 Baths","10 Marla","",""
"1761476075-5","https://www.zameen.com/Houses_Property/Islamabad-3-1.html","","https://www.zameen.com/Property/islamabad_g-13_1_kanal_50x90_luxurious_house_for_sale_in_g-13_islamabad-52206027-330-1.html","15.5 Crore","G-13, Islamabad, Islamabad Capital","1 Kanal 50x90 Luxurious House For Sale In G-13 Islamabad","6 Beds","6 Baths","1 Kanal","",""
"1761476078-6","https://www.zameen.com/Houses_Property/Islamabad-3-1.html","","https://www.zameen.com/Property/islamabad_g-13_40x80_sun_face_double_storey_brand_new_house_for_sale_in_g-13_islamabad-52206116-330-1.html","10.7 Crore","G-13, Islamabad, Islamabad Capital","40x80 Sun Face Double Storey Brand New House For Sale In G-13 Islamabad","6 Beds","6 Baths","14 Marla","",""
"1761476081-6","https://www.zameen.com/Houses_Property/Islamabad-3-1.html","","https://www.zameen.com/Property/islamabad_g-13_40x80_sun_face_double_storey_brand_new_house_for_sale_in_g-13_islamabad-52206116-330-1.html","10.7 Crore","G-13, Islamabad, Islamabad Capital","40x80 Sun Face Double Storey Brand New House For Sale In G-13 Islamabad","6 Beds","6 Baths","14 Marla","",""
"1761476087-7","https://www.zameen.com/Houses_Property/Islamabad-3-1.html","","https://www.zameen.com/Property/islamabad_g-13_10_marla_brand_new_house_for_sale_at_very_reasonable_price_in_g-13_islamabad-52170550-330-1.html","7.9 Crore","G-13, Islamabad, Islamabad Capital","10 Marla Brand New House For Sale At Very Reasonable Price In G-13 Islamabad","6 Beds","6 Baths","10 Marla","",""
